Name,Price,No IVA,PVP,Discount,Rating
CoolBox COO-CR606 Lector de Tarjetas Interno USB 2.0,8.49,7.02,8.49,0,0.0
SanDisk ImageMate Pro Multilector USB 3.0,21.18,17.5,21.18,0,0.0
Cherry ST-1144 SmartTerminal Lector de Tarjetas Chip USB,30,24.79,30,0,100.0
"3Go CR37 Lector de Tarjetas Interno 3.5"" USB 2.0",11.33,9.36,11.76,4,0.0
Apple Lector de Tarjetas USB-C,47.26,39.06,47.26,0,0.0
Conceptronic Multilector de Tarjetas USB Negro,8.99,7.43,8.99,0,0.0
Conceptronic Multilector de Tarjetas USB Plata,9.99,8.26,9.99,0,0.0
CoolBox CRE-050 Lector de Tarjetas USB 2.0 Negro,8.17,6.75,8.17,0,0.0
NGS Ally Reader Lector de Tarjetas Tipo C 5 en 1,18,14.88,18,0,100.0
SanDisk Extreme Pro CFast 2.0 Lector de Tarjetas USB 3.0 Negro,49.17,40.64,49.17,0,0.0
SanDisk Extreme Pro SD UHS-II Lector de Tarjetas USB 3.0,20.27,16.75,20.27,0,0.0
SanDisk Extreme Pro SD UHS-II Lector de Tarjetas USB-C,25.39,20.98,25.39,0,0.0
SanDisk SD UHS-I Lector de Tarjetas USB 3.0,18.44,15.24,18.44,0,0.0
Startech Lector Compacto de Tarjetas de Memoria USB 3.0 Negro,30.32,25.06,30.32,0,0.0
Startech Lector de Tarjetas de Memoria Thunderbolt 3,171,141.32,171,0,0.0
Startech Lector de Tarjetas de Memoria USB 3.0,29,23.97,29,0,0.0
Startech Lector de Tarjetas de Memoria USB 3.0 USB-C Gris,36,29.75,36,0,0.0
Startech Lector de Tarjetas de Memoria USB-C Gris,116,95.87,116,0,0.0
Startech Lector/Grabador Tarjetas de Memoria Flash USB 3.0 CFast 2.0,46,38.02,46,0,0.0
Conceptronic Lector de DNI-e USB,14.95,12.36,14.95,0,86.1
Conceptronic Lector de DNIe 3.0 y eID,9.99,8.26,9.99,0,100.0
HyperDrive Pro Lector de Tarjetas USB-C Negro,45,37.19,45,0,0.0
