Nombre, Precio, IVA, PVP, Descuento, Rating
Kingston ValueRAM SO-DIMM DDR3L 1600 PC3-12800 4GB CL11,26,21.49,26,0,93.8
Kingston HyperX Fury Blue DDR3 1600 PC3-12800 4GB CL10,27,22.31,27,0,94.3
Kingston ValueRAM DDR4 2400 PC4-19200 4GB CL17,21.12,17.45,21.12,0,93.6
G.Skill Ripjaws SO-DIMM DDR3L 1600 PC3-12800 8GB CL9,34,28.1,34,0,95.5
G.Skill Ripjaws SO-DIMM DDR4 2400 PC4-19200 8GB CL16,37.99,31.4,37.99,0,95.7
G.Skill Trident Z DDR4 3600 PC4-28800 16GB 2x8GB CL16,161.95,133.84,161.95,0,95.0
Kingston ValueRAM DDR3 1600 PC3 12800 8GB CL11,39.95,33.02,39.95,0,93.3
Corsair Vengeance RGB Pro Optimizado AMD DDR4 3200 16GB 2x8GB CL16,139,114.88,139,0,0.0
Kingston HyperX Fury Black 4GB DDR4 2666Mhz PC-21300 CL15,25,20.66,25,0,93.8
Corsair Value Select DDR4 2400 PC4-19200 8GB CL16,35,28.93,35,0,91.0
Memoria RAM Crucial DDR4 2400 PC4-19200 4GB CL17,20.56,16.99,20.56,0,92.7
Corsair Vengeance LPX DDR4 2400 PC4-19200 8GB CL16,58.84,48.63,58.84,0,93.6
Startech Lector Multi Tarjetas de Memoria USB 3.0 Negro,28,23.14,28,0,0.0
Kingston FCR-MRG2 Lector USB de Tarjetas MicroSD/MicroSDHC/MicroSDXC,4.95,4.09,4.95,0,89.4
Startech Lector de Tarjetas de Memoria USB 3.0/USB-C,17.75,14.67,17.75,0,0.0
Conceptronic Multilector de Tarjetas USB Blanco,17.75,14.67,17.75,0,0.0
Startech 35BAYCF2IDE Lector de Tarjetas Compact Flash a IDE para Bahía de 3.5 Pulgadas,28.05,23.18,28.05,0,100.0
Sandisk MobileMate Duo Lector de Tarjeta USB 2.0 + Adaptador SD,11.53,9.53,11.53,0,0.0
CoolBox CR650-BT Lector de Tarjetas Interno USB 2.0,17.38,14.36,17.38,0,0.0
CoolBox COO-CR606 Lector de Tarjetas Interno USB 2.0,8.49,7.02,8.49,0,0.0
SanDisk ImageMate Pro Multilector USB 3.0,21.18,17.5,21.18,0,0.0
Cherry ST-1144 SmartTerminal Lector de Tarjetas Chip USB,30,24.79,30,0,100.0
Woxter Lector DNI-e USB Rojo,12.99,10.74,12.99,0,0.0
Woxter Lector DNI-e USB Negro,11.99,9.91,11.99,0,98.0
SanDisk MobileMate Lector de Tarjetas USB 3.0 Negro,11.04,9.12,11.04,0,0.0
CoolBox CRE-050 Lector de Tarjetas USB 2.0 Negro,8.17,6.75,8.17,0,0.0
SanDisk Extreme Pro CFast 2.0 Lector de Tarjetas USB 3.0 Negro,49.17,40.64,49.17,0,0.0
SanDisk Extreme Pro SD UHS-II Lector de Tarjetas USB 3.0,20.27,16.75,20.27,0,0.0
Unotec Mini Lector USB de Tarjetas MicroSD,2.25,1.86,2.25,0,77.0
Tacens Anima ACRM3 Lector de Tarjetas 85 en 1,12.25,10.12,12.25,0,90.0
Tacens Anima ACR2 Lector de Tarjetas + USB 3.0,7.75,6.4,7.75,0,81.1
Lexar LRW025URBEU Lector de Tarjetas USB 3.0,29,23.97,29,0,0.0
HyperDrive Pro Lector de Tarjetas USB-C Negro,45,37.19,45,0,0.0
Lexar Professional Lector de Tarjetas Dual USB 3.0,49,40.5,49,0,0.0
SanDisk SD UHS-I Lector de Tarjetas USB 3.0,18.44,15.24,18.44,0,0.0
Satechi Lector de Tarjetas SD/MicroSD con USB 3.0/ USB Tipo C Plateado,28,23.14,28,0,100.0
Asus Strix Raid Pro Interno 7.1 Canales PCI-E,139,114.88,139,0,0.0
Sound Blaster X3 Tarjeta de Sonido Reacondicionado,88.6,73.22,88.6,0,0.0
Unotec Tarjeta de sonido 7.1 USB,7.25,5.99,7.25,0,79.4
Asus Strix Raid DLX,246.23,203.5,246.23,0,0.0
Creative SB X-Fi Surround 5.1 Pro v3 Tarjeta de Sonido Externa USB,65.6,54.21,65.6,0,0.0
Asus Xonar U7 7.1 USB,89.99,74.37,89.99,0,85.4
Nfortec Antares USB 3.0 Cristal Templado RGB Negro,89.95,74.34,89.95,0,88.4
Aerocool RIFT RGB USB 3.0 con Ventana,39.99,33.05,39.99,0,89.4
Nox Coolbay MX2 USB 3.0 Negro,24.74,20.45,24.74,0,86.4
Nox Hummer TGM ARGB Cristal Templado USB 3.0,64.99,53.71,64.99,0,70.9
Nox Infinity Atom USB 3.0 Cristal Templado,41.94,34.66,41.94,0,85.7
Tempest One USB 3.0 con Ventana Blanca,29.98,24.78,29.98,0,89.7
Corsair Carbide SPEC-06 Cristal Templado RGB White,92.99,76.85,92.99,0,95.0
Tacens Anima AC4500 USB 3.0 + Fuente de Alimentación 500W,26.99,22.31,26.99,0,86.3
Nfortec Antares USB 3.0 Cristal Templado RGB Blanca,89.95,74.34,89.95,0,89.7
Corsair Carbide SPEC-06 Cristal Templado RGB Negra,79.99,66.11,92.99,14,91.1
Nox LITE010 USB 3.0 + Fuente de Alimentación 500W,31.99,26.44,31.99,0,76.2
Owlotech Start Case USB 3.0 500W,39.99,33.05,39.99,0,82.9
Corsair iCUE 220T RGB Cristal Templado USB 3.1 Negra,114.9,94.96,114.9,0,70.0
Nfortec Lynx Cristal Templado USB 3.0 RGB Negra,39.95,33.02,39.95,0,88.5
NZXT H510 Cristal Templado USB 3.1 Negro/Rojo Mate,79.99,66.11,79.99,0,91.3
Corsair 275R Cristal Templado USB 3.0 Blanca,77.99,64.45,77.99,0,96.7
Nox Infinity Omega ARGB USB 3.0 con Ventana,45.01,37.2,45.01,0,78.6
Corsair Carbide 275Q USB 3.0 Negra,101.02,83.49,101.02,0,90.8
Corsair Crystal 570X RGB Cristal Templado USB 3.0 Roja,149,123.14,186.98,21,93.8
Thermaltake View 31 TG Cristal Templado USB 3.0,126.65,104.67,126.65,0,95.5
NOX Modus Blue Edition USB 3.0,26.4,21.82,26.4,0,86.7
Tempest One USB 3.0 con Ventana Negra,29.98,24.78,29.98,0,89.3
Lian Li PC-O11 Dynamic Razer Edition Cristal Templado USB 3.1 RGB Negra,157.99,130.57,157.99,0,91.4
Corsair 110 R Cristal Templado USB 3.0 Negro,59.99,49.58,59.99,0,92.4
Cooler Master Hyper 212 Black Edition ,34.99,28.92,34.99,0,92.8
Corsair Cooling Hydro Series H45,51.99,42.97,51.99,0,88.5
Tacens Anima AF8 80mm,2.09,1.73,2.09,0,87.4
Corsair H115i RGB PLATINUM Kit de Refrigeración Líquida,149.99,123.96,149.99,0,91.8
Noctua NH-U12S,74.92,61.92,74.92,0,95.0
Corsair Hydro Series H100i RGB PLATINUM SE Kit de Refrigeración Líquida Blanco,154.99,128.09,154.99,0,98.3
Aerocool BARAF-S 3.5G Pasta Térmica,3.99,3.3,3.99,0,93.6
MSI Core Frozr S Ventilador CPU ,49.99,41.31,49.99,0,91.1
Noctua NH-U9S,54.99,45.45,54.99,0,95.9
Nox Hummer Thermal T1 Pasta Térmica de Alta Eficiencia 4g,6.99,5.78,6.99,0,93.3
Noctua NH-U12S chromax.black,69.99,57.84,69.99,0,100.0
Noctua NH-D15,89.99,74.37,89.99,0,96.9
Cooler Master MasterLiquid ML120L RGB,65.04,53.75,65.04,0,88.5
Nfortec Hydrus V2 120 Red Kit de Refrigeración Líquida ,49.95,41.28,49.95,0,90.6
Corsair Hydro Series H100i PRO Kit de Refrigeración Líquida RGB,151.79,125.45,151.79,0,92.6
Noctua NH-D15 chromax.black,99.99,82.64,99.99,0,95.0
AeroCool Core Plus ARGB CPU Air Cooler Ventilador RGB 120mm,12.99,10.74,12.99,0,91.6
Cooler Master Hyper 212 LED Rojo,31.99,26.44,31.99,0,91.7
Cooler Master MasterLiquid ML240R RGB,109,90.08,109,0,89.4
Nfortec Oberon Combo Pack 3 Ventiladores RGB 120mm,39.95,33.02,39.95,0,91.5
Cooler Master Hyper H412R,21.9,18.1,21.9,0,93.2
NZXT Kraken X63 Kit de Refrigeración Líquida,149,123.14,149,0,70.0
Aerocool Force Ventilador 120mm,7.92,6.55,7.92,0,75.6
Corsair Hydro Series H150i Pro,173.99,143.79,173.99,0,94.7
Thermaltake TR2 S 600W 80 Plus,51.99,42.97,51.99,0,95.0
Tacens Anima APSI500 ATX 500W,9.99,8.26,9.99,0,84.3
EVGA N1 750W,54.99,45.45,62.98,13,93.2
Thermaltake Smart RGB 600W 80 Plus,51.99,42.97,51.99,0,90.0
Nox Hummer GD750 750W 80 Plus Gold,87.99,72.72,87.99,0,94.7
EVGA W1 500W 80 Plus,44.99,37.18,44.99,0,93.3
Tacens Anima APB550 ATX 550W 80 Plus Bronze,34.38,28.41,41.27,17,88.1
EVGA B3 850W 80 Plus Bronze Modular,95.99,79.33,104.98,9,87.5
Tacens APII500 Fuente Alimentación 500W,14.2,11.74,14.2,0,87.6
Thermaltake Toughpower Grand RGB 750W 80 Plus Gold Modular,119,98.35,119,0,94.0
Aerocool VX PLUS 550W,33.15,27.4,33.15,0,86.9
L-Link Fuente de Alimentación ATX 500W,11,9.09,11,0,82.9
L-Link Fuente de Alimentación 650W PFC,28.99,23.96,28.99,0,78.6
L-Link Fuente de Alimentación ATX 500W con Cable Incluido,11.99,9.91,11.99,0,83.5
Nfortec Scutum PSU Fuente de Alimentacion 650W 80 Plus Bronze,49.95,41.28,49.95,0,91.0
Nfortec Scutum PSU Fuente de Alimentacion 750W 80 Plus Bronze Modular,69.95,57.81,69.95,0,92.1
Corsair CX750 750W 80 Plus Bronze,94.99,78.5,94.99,0,92.6
Corsair CV450 CV Series 450W 80 Plus Bronze,43,35.54,43,0,0.0
Nox Urano SX 500W,28.74,23.75,28.74,0,88.7
EVGA Supernova G3 850W 80 Plus Gold Modular,149.99,123.96,149.99,0,96.6
Thermaltake TR2 S 500W 80 Plus,68.06,56.25,68.06,0,97.1
Corsair RMx White Series RM750x 750W 80 Plus Gold Full Modular,137.99,114.04,137.99,0,88.7
Thermaltake Toughpower Grand RGB 650W 80 Plus Gold Modular,109.99,90.9,109.99,0,93.1
Thermaltake Smart BX1 750W 80 Plus Bronze,74.99,61.98,74.99,0,95.0
Bluelounge CableDrop Mini Pack 9 Organizadores de Cables Negros,11.95,9.88,11.95,0,0.0
BitFenix Alchemy 2.0 Tira LED RGB Magnética 60cm,24.99,20.65,24.99,0,0.0
Bluelounge CableDrop Mini Pack 9 Organizadores de Cables Blancos,11.95,9.88,11.95,0,0.0
Phanteks Led Strips LED RGB Starter Combo Set,24.05,19.88,24.05,0,91.1
Quick Media Organizador de Cables Dúo,6.99,5.78,6.99,0,0.0
Equip Spine Cable Organizador de Cables Blanco,39.43,32.59,47.32,17,0.0
BHCustoms Cable Comb Abierto 24 Slots 4mm Transparente,1.5,1.24,1.5,0,90.0
Silverstone SF02 Espuma Reducción de Ruido,19.99,16.52,19.99,0,0.0
BitFenix Alchemy 2.0 Tira LED RGB Magnética 60cm con Controlador,26.81,22.16,32.17,17,100.0
Sharkoon VR USB 3.0 Panel Frontal Universal,19.99,16.52,19.99,0,100.0
Bluelounge CableBox Caja Recogecables Ignífuga Negra,29.99,24.79,29.99,0,0.0
SilverStone Frontal Multifuncion FP32B,12.99,10.74,12.99,0,90.0
Phanteks Led Strips LED RGB Extensor 40cm,13.68,11.31,13.68,0,82.1
Silverstone LS02 Cinta LED RGB,17.25,14.26,17.25,0,100.0
Tapa Anti Polvo para puerto USB x4,1.75,1.45,1.75,0,91.0
BHCustoms Cable Comb Abierto 8 Slots 4mm Negro ,1,0.83,1,0,100.0
BHCustoms Cable Comb Abierto 24 Slots 4mm Negro,1.5,1.24,1.5,0,100.0
Nexus Kit Antivibración MTK-6000,12.95,10.7,12.95,0,100.0
Silverstone CA02 Caja de Tornillos para Modding,12.99,10.74,12.99,0,85.7
BHCustoms Cable Comb Abierto 8 Slots 4mm Transparente ,1,0.83,1,0,73.3
BitFenix Alchemy 3.0 Tira LED RGB Magnética 60cm con Controlador,35.99,29.74,35.99,0,100.0
Bluelounge Cable Ties Organizador de Cables L/XL Pack 4 Unidades,11.95,9.88,11.95,0,0.0
Bluelounge Cable Ties Organizador de Cables S/M Pack 6 Unidades,11.95,9.88,11.95,0,0.0
Bluelounge CableBox Mini Caja Recogecables Ignífuga Azul,26.94,22.26,26.94,0,0.0
AVerMedia ExtremeCap SDI Capturadora de Video 1080p 60fps,219,180.99,219,0,0.0
AVerMedia ExtremeCap UVC Capturadora de Video 1080p 60fps,229,189.26,229,0,0.0
AVerMedia Live Streamer 311 Kit Youtuber,257.85,213.1,257.85,0,0.0
AVerMedia Live Streamer 311S Kit Youtuber,203.73,168.37,203.73,0,0.0
Blackmagic Web Presenter,459,379.34,459,0,0.0
